Tcc/h;stage;bin;;;;;;;
5.95;37.975;36;;;;;;;
5.35;37.725;36;;;;;;;
5.2;37.65;36;;;;;;;
5.55;37.075;36;;;;;;;
6.15;37.375;36;;;;;;;
6.4;38.45;36;;;;;;;
6;38.25;36;;;;;;;
5.583333333;38.70833333;36;;;;;;;
5.166666667;36.33333333;36;;;;;;;
5.833333333;36.66666667;36;;;;;;;
4.333333333;37.75;36;;;;;;;
4.333333333;36.83333333;36;;;;;;;
4.75;38.125;36;;;;;;;
4.75;37.125;36;;;;;;;
6;38.5;36;;;;;;;
6.416666667;36.95833333;36;;;;;;;
11;38.33333333;36;;;;;;;
4.75;40.20833333;42;;;;;;;
4.5;40.08333333;42;;;;;;;
5.25;40.70833333;42;;;;;;;
5.333333333;40.75;42;;;;;;;
5.166666667;40.08333333;42;;;;;;;
4.833333333;39.91666667;42;;;;;;;
4.5;39.75;42;;;;;;;
4.833333333;39.91666667;42;;;;;;;
4.25;41.79166667;42;;;;;;;
4.75;42.04166667;42;;;;;;;
4.083333333;42.125;42;;;;;;;
4.416666667;42.375;42;;;;;;;
4.666666667;42.5;42;;;;;;;
5.583333333;39.29166667;42;;;;;;;
4.583333333;39.70833333;42;;;;;;;
4.75;39.79166667;42;;;;;;;
5.333333333;40.25;42;;;;;;;
5.583333333;40.375;42;;;;;;;
4.666666667;39.16666667;42;;;;;;;
5.166666667;39.41666667;42;;;;;;;
7.5;41.25;42;;;;;;;
7.1;43.42;42;;;;;;;
4.1;41.83;42;;;;;;;
5.8;43.08;42;;;;;;;
4.9;42.58;42;;;;;;;
5.2;42.83;42;;;;;;;
5.6;44.67;42;;;;;;;
5.3;41.83;42;;;;;;;
4.5;42.33;42;;;;;;;
5.5;43.33;42;;;;;;;
6.3;44.5;42;;;;;;;
5;41.58333333;42;;;;;;;
5.25;41.70833333;42;;;;;;;
5.833333333;42;42;;;;;;;
7.416666667;44.54166667;42;;;;;;;
8;44.83333333;42;;;;;;;
4.833333333;41.66666667;42;;;;;;;
5.166666667;41.83333333;42;;;;;;;
5.916666667;42.70833333;42;;;;;;;
6.333333333;42.91666667;42;;;;;;;
6.416666667;40.375;42;;;;;;;
7;40.66666667;42;;;;;;;
5.916666667;42.375;42;;;;;;;
6.166666667;42.91666667;42;;;;;;;
4.583333333;42.79166667;42;;;;;;;
5.25;43.125;42;;;;;;;
5.333333333;39.08333333;42;;;;;;;
4.25;39.54166667;42;;;;;;;
5.25;44.95833333;42;;;;;;;
4.166666667;39.25;42;;;;;;;
4.666666667;39.5;42;;;;;;;
4.833333333;40.91666667;42;;;;;;;
5.333333333;41.16666667;42;;;;;;;
5.166666667;43.08333333;42;;;;;;;
4.416666667;39.95833333;42;;;;;;;
4.583333333;40.04166667;42;;;;;;;
4.166666667;40.41666667;42;;;;;;;
4.25;40.45833333;42;;;;;;;
10.5;41.33333333;42;;;;;;;
6.3;50.08;48;;;;;;;
11.58333333;46.875;48;;;;;;;
8.25;45.20833333;48;;;;;;;
8.833333333;45.5;48;;;;;;;
6.416666667;45.79166667;48;;;;;;;
5.666666667;45.41666667;48;;;;;;;
5.583333333;45.125;48;;;;;;;
5.166666667;46;48;;;;;;;
5.166666667;46;48;;;;;;;
5.5;46.66666667;48;;;;;;;
5.5;46.66666667;48;;;;;;;
5.75;47.29166667;48;;;;;;;
6.083333333;47.45833333;48;;;;;;;
10.8;54.5;54;;;;;;;
;;;;;;;;;
;;;;;;;;;
