dev_stage;N;V/v;N_neurons
20;2177.3;2163.400652;NaN
24;3039.6;3721.695742;NaN
30;5909.1;5456.822994;NaN
36;6664.4;8028.060436;1046
42;15509.5;18130.66761;3319
48;17955;29627.20757;9462
dev_stage;stdev;stdev;stdev
20;708.4261194;1185.42072;NaN
24;555.5736175;875.6019709;NaN
30;924.3172195;1028.301033;NaN
36;2095.622114;2933.458063;NaN
42;1117.089497;2276.133125;NaN
48;2656.057688;10715.81119;NaN
